modelo,etapa_modelo,calibracion,n,MAE_mill,MSE_mill2,RMSE_mill,MAPE,Median_APE,MAE_log,MSE_log,RMSE_log,R2_eur,R2_log,ratio_medio,sesgo_mill
1_con_probabilidades_lesion,optimizado_calibraciones,isotonica_log,80,2.63550044412445,19.7726047654119,4.44663971616904,0.369774501514042,0.252262371325977,0.271316151849757,0.139971187474883,0.374127234339981,0.862391821505687,0.837676717487205,1.13071247701455,-0.620995777525212
1_con_probabilidades_lesion,optimizado_calibraciones,original,80,3.7020017840022,39.7647503726255,6.3059297785993,0.469592799960263,0.373735534790721,0.3338286867666,0.191493861801564,0.437600116318043,0.723255740354953,0.777926351919682,1.20382887092415,-0.721519962491786
1_con_probabilidades_lesion,optimizado_calibraciones,gam_log,80,3.67996291104465,39.8022121399504,6.3088994396765,0.460041331257901,0.351239236815532,0.332309831247328,0.191299921111135,0.437378464388835,0.722995023791509,0.778151263132134,1.18399161946141,-0.888154413199805
1_con_probabilidades_lesion,optimizado_calibraciones,lineal_log,80,3.6799637632485,39.8022423079958,6.30890183058793,0.460041399511546,0.351239343888956,0.332309860468369,0.19129997366047,0.437378524461902,0.722994813835875,0.778151202191159,1.18399171767966,-0.888153251811612
1_con_probabilidades_lesion,optimizado_calibraciones,intercepto_log,80,3.68320460420205,39.8599166041076,6.31347104247003,0.459540936320742,0.354128303522754,0.332247090507866,0.191309830531685,0.437389792441119,0.722593427426343,0.778139771269412,1.18313159447316,-0.857967981425363
2_con_probabilidades_lesion_monotono,optimizado_calibraciones,isotonica_log,80,2.6597139654698,18.0141227650446,4.24430474460124,0.393205145551633,0.24772713875493,0.286998939899122,0.154481262461799,0.393041044245761,0.874630042410647,0.820849518662408,1.14788886155625,-0.621892474790205
2_con_probabilidades_lesion_monotono,optimizado_calibraciones,lineal_log,80,3.76168961211374,38.0360641432699,6.16733849754251,0.502270805182449,0.362264496770478,0.358765540567805,0.208461452356277,0.456575790374695,0.735286596483021,0.758249195178632,1.19411595595729,-1.01254956296795
2_con_probabilidades_lesion_monotono,optimizado_calibraciones,gam_log,80,3.76168811454967,38.0361515528282,6.16734558402788,0.50226988393973,0.362262567829617,0.358765050414733,0.208461168928826,0.456575479990796,0.735285988152948,0.758249523866809,1.19411602527448,-1.01253789253523
2_con_probabilidades_lesion_monotono,optimizado_calibraciones,intercepto_log,80,3.74826066940017,38.4709059560699,6.20249191503462,0.500290749715242,0.356018093711188,0.358031260636744,0.208772589345337,0.45691639207336,0.732260298708777,0.757888372510151,1.18960925922885,-0.844700968235096
2_con_probabilidades_lesion_monotono,optimizado_calibraciones,original,80,3.73780117181388,38.4966739711756,6.20456879816604,0.51495511961411,0.34210777834238,0.358247609002185,0.209306827926424,0.457500631613142,0.732080965248963,0.757268821003219,1.22519427192909,-0.610792995673454
3_sin_probabilidades_lesion_penalizador_manual,optimizado_calibraciones,isotonica_log,80,3.05533080299806,25.7533122248697,5.07477213526575,0.404962957901828,0.271879540360104,0.296926366091053,0.157995929159599,0.397487017598813,0.820768865432495,0.816773592426319,1.14574100914145,-0.739297891115781
3_sin_probabilidades_lesion_penalizador_manual,optimizado_calibraciones,original,80,3.82687667689754,40.0426296212524,6.3279245903576,0.51097524962701,0.353689588550034,0.355443193485553,0.207368531596574,0.455377350772493,0.721321829385781,0.759516645204898,1.23038326630775,-0.770909182146095
3_sin_probabilidades_lesion_penalizador_manual,optimizado_calibraciones,intercepto_log,80,3.79982437837759,40.449222626697,6.35997033221831,0.49661986874616,0.350269869098739,0.35440386266414,0.206936448174039,0.454902679893226,0.718492130237309,0.760017728325864,1.19823694250569,-0.978218309840729
3_sin_probabilidades_lesion_penalizador_manual,optimizado_calibraciones,lineal_log,80,3.78612005333184,40.5663416523538,6.36917119037899,0.49686790892635,0.354282979647448,0.353953734549997,0.206903159586842,0.454866089730639,0.717677036020899,0.760056332790408,1.1997987619931,-1.03118646547114
3_sin_probabilidades_lesion_penalizador_manual,optimizado_calibraciones,gam_log,80,3.78612049863381,40.5663423333315,6.36917124383789,0.496867848537972,0.354283089314177,0.353953711028099,0.206903108856229,0.454866033966298,0.717677031281609,0.760056391622227,1.19979872604447,-1.03118545626719
