decile,n,real_mean_mill,pred_iso_mean_mill,pred_raw_mean_mill,ratio_iso_mean,ratio_raw_mean
D1,6,0.84,2.0630333333333333,0.8470166666666668,2.4559920634920633,1.0083531746031746
D2,6,1.6466666666666665,2.859083333333333,1.8061333333333334,1.7362854251012145,1.096842105263158
D3,6,2.61,3.7170833333333335,2.83985,1.4241698595146872,1.088065134099617
D4,6,3.391666666666667,3.8577999999999997,3.0094,1.1374348894348891,0.8872923832923831
D5,6,5.051666666666667,5.300433333333333,4.747516666666667,1.0492444737710327,0.9397921478060046
D6,6,7.483333333333333,6.89145,6.648,0.9209064587973274,0.8883741648106904
D7,6,9.313333333333334,9.900599999999999,10.0209,1.0630565497494628,1.075973514674302
D8,6,11.836666666666666,11.014316666666666,10.845883333333333,0.93052520416784,0.9162954097437342
D9,6,16.401666666666667,16.033983333333335,16.245783333333332,0.9775825627476883,0.9904958845645766
D10,6,28.728333333333335,26.8463,29.27263333333333,0.9344886001044265,1.0189464523989091
