feature,mean_abs_shap,group
rol_secundarioFB_1,0.0,Rol y posicion
rol_secundarioFB_2,0.0,Rol y posicion
rol_secundarioFB_3,0.0,Rol y posicion
rol_secundarioWF_1,0.0,Rol y posicion
rol_secundarioWF_2,0.0,Rol y posicion
rol_secundarioWF_3,0.0,Rol y posicion
posicion_rol_secundarioCB,0.0,Rol y posicion
posicion_rol_secundarioCF,0.0,Rol y posicion
posicion_rol_secundarioCMF,0.0,Rol y posicion
posicion_rol_secundarioDesconocido,0.0,Rol y posicion
posicion_rol_secundarioDMF,0.0,Rol y posicion
posicion_rol_secundarioFB,0.0,Rol y posicion
posicion_rol_secundarioWF,0.0,Rol y posicion
polivalencia_globalmuy_polivalente,0.0,Rol y posicion
