modelo,etapa_modelo,best_iter,calibracion,mejor_calibracion,n,MAE_mill,MSE_mill2,RMSE_mill,MAPE,Median_APE,MAE_log,MSE_log,RMSE_log,R2_eur,R2_log,ratio_medio,sesgo_mill
1_con_probabilidades_lesion,optimizado_mejor_calibracion,532,isotonica_log,isotonica_log,80,2.63550044412445,19.7726047654119,4.44663971616904,0.369774501514042,0.252262371325977,0.271316151849757,0.139971187474883,0.374127234339981,0.862391821505687,0.837676717487205,1.13071247701455,-0.620995777525212
1_con_probabilidades_lesion,optimizado_sin_calibrar,532,sin_calibrar,,80,3.7020017840022,39.7647503726255,6.3059297785993,0.469592799960263,0.373735534790721,0.3338286867666,0.191493861801564,0.437600116318043,0.723255740354953,0.777926351919682,1.20382887092415,-0.721519962491786
1_con_probabilidades_lesion,sin_optimizar,304,sin_calibrar,,80,3.93801663075992,45.2783336326421,6.72891771629302,0.494917280175813,0.358623682239015,0.34512214664496,0.201313588098295,0.44867982804924,0.684883752526883,0.766538506787993,1.23024080103419,-0.678973866679619
2_con_probabilidades_lesion_monotono,optimizado_mejor_calibracion,351,isotonica_log,isotonica_log,80,2.6597139654698,18.0141227650446,4.24430474460124,0.393205145551633,0.24772713875493,0.286998939899122,0.154481262461799,0.393041044245761,0.874630042410647,0.820849518662408,1.14788886155625,-0.621892474790205
2_con_probabilidades_lesion_monotono,optimizado_sin_calibrar,351,sin_calibrar,,80,3.73780117181388,38.4966739711756,6.20456879816604,0.51495511961411,0.34210777834238,0.358247609002185,0.209306827926424,0.457500631613142,0.732080965248963,0.757268821003219,1.22519427192909,-0.610792995673454
2_con_probabilidades_lesion_monotono,sin_optimizar,302,sin_calibrar,,80,4.06721024959642,46.9901337147021,6.85493498982318,0.509609695044533,0.34080773707207,0.350753748761093,0.208579685591236,0.456705250233929,0.672970416169159,0.758112081197199,1.2481837538435,-0.437968107205152
3_sin_probabilidades_lesion_penalizador_manual,optimizado_mejor_calibracion,187,isotonica_log,isotonica_log,80,3.05533080299806,25.7533122248697,5.07477213526575,0.404962957901828,0.271879540360104,0.296926366091053,0.157995929159599,0.397487017598813,0.820768865432495,0.816773592426319,1.14574100914145,-0.739297891115781
3_sin_probabilidades_lesion_penalizador_manual,optimizado_sin_calibrar,187,sin_calibrar,,80,3.82687667689754,40.0426296212524,6.3279245903576,0.51097524962701,0.353689588550034,0.355443193485553,0.207368531596574,0.455377350772493,0.721321829385781,0.759516645204898,1.23038326630775,-0.770909182146095
3_sin_probabilidades_lesion_penalizador_manual,sin_optimizar,260,sin_calibrar,,80,3.90205691484042,45.0686914631732,6.71332193948519,0.495769898661478,0.354305241229156,0.347160532723648,0.211197705281057,0.459562515095669,0.686342765004929,0.75507598814547,1.23184669397928,-0.551156078105778
